gene,control,treated,log2(fold_change)
FAM43B,0.080894,1.76877,4.45057
CDA,0.984065,17.9535,4.18936
PINK1,14.0596,40.4624,1.52503
LOC100506801,0.836964,0.660018,-0.342662
NBPF3,3.75118,5.56012,0.567771
ALPL,0.105037,0.614173,2.54774
LDLRAD2,0.0389658,0.053312,0.452252
CELA3B,0,0,0
CELA3A,0,0,0
LINC00339,20.7034,34.8591,0.75167
CDC42,138.754,137.057,-0.0177575
ZBTB40,12.2681,14.3432,0.225456
EPHA8,0.0268338,0.403964,3.9121
C1QA,1.12836,2.43098,1.10731
C1QC,0.109344,0.261706,1.25907
C1QB,0.0173828,0.173232,3.31697
EPHB2,10.1354,21.908,1.11206
MIR4684,0,0,0
KDM1A,48.1615,62.463,0.375122
MIR3115,0,0,0
C1orf213,2.64845,5.01715,0.921721
MDS2,0.0709376,0.642563,3.17922
RPL11,3332.42,3213.76,-0.0523068
TCEB3,22.7019,27.2518,0.263538
PITHD1,52.2622,45.2485,-0.207897
LYPLA2,55.1447,68.6791,0.316648
MIR378F,0,0,0
PNRC2,80.2562,70.3879,-0.189286
LOC284632,0,0.106236,1.79769e+308
GRHL3,0.602588,1.19994,0.993722
NIPAL3,17.1582,24.5199,0.515053
RCAN3,0.98712,3.81093,1.94884
C1orf130,0.732876,4.25026,2.53591
SRRM1,34.5833,30.4567,-0.183314
CLIC4,82.1527,55.9745,-0.55354
RHD,0.0884833,0.212808,1.26608
TMEM50A,74.281,80.6225,0.11819
TMEM57,31.4498,24.4699,-0.362041
LDLRAP1,42.1618,35.2338,-0.258977
MAN1C1,0.484598,1.85727,1.93832
SEPN1,3.19126,7.69981,1.2707
FAM54B,12.0097,20.5347,0.773869
EXTL1,0.00389455,0.0319705,3.03722
PDIK1L,10.8078,9.65243,-0.163102
FAM110D,0.0668683,0.0405135,-0.72292
ZNF593,79.1498,75.2379,-0.0731266
CNKSR1,0.0255941,0.0364318,0.509384
CATSPER4,0,0,0
CEP85,22.0027,18.9112,-0.21844
SH3BGRL3,69.8495,93.7415,0.424438
CD52,0.0468488,0.125354,1.41992
LIN28A,0.00778909,0.00710457,-0.132709
DHDDS,14.8961,13.3894,-0.153845
HMGN2,357.394,163.26,-1.13034
RPS6KA1,23.6925,29.5375,0.318113
MIR1976,0,0,0
ARID1A,24.9971,24.3863,-0.0356848
PIGV,9.85804,17.3214,0.813184
ZDHHC18,13.2125,13.0891,-0.0135382
SFN,17.6996,12.7831,-0.469474
NUDC,171.37,137.4,-0.318725
TRNP1,0.786538,3.54038,2.17032
WDTC1,10.7192,30.8146,1.52342
TMEM222,24.5522,20.0331,-0.29347
LOC644961,1.97171,1.90676,-0.0483189
SYTL1,7.97585,8.55528,0.101176
GPR3,2.79758,3.53445,0.33731
FAM76A,4.37541,6.20581,0.5042
STX12,15.7489,21.1719,0.426901
PPP1R8,45.2849,35.2146,-0.362857
SCARNA1,1.2743,0,-1.79769e+308
C1orf38,14.4841,30.1803,1.05913
SMPDL3B,35.2332,49.0039,0.47596
XKR8,2.61605,1.8586,-0.493178
ATPIF1,422.643,377.739,-0.162051
SESN2,13.7978,9.6691,-0.512985
MED18,11.8367,12.5361,0.0828256
PHACTR4,13.355,14.0504,0.0732306
"RCC1,SNHG3",164.069,102.29,-0.681632
TRNAU1AP,11.8689,12.9075,0.121025
RAB42,0.103916,0.272184,1.38916
RNU11,7.18267,0,-1.79769e+308
GMEB1,8.42616,7.68723,-0.132411
YTHDF2,60.6038,50.0669,-0.275551
OPRD1,0.723006,1.45195,1.00592
EPB41,65.1163,65.6477,0.0117246
PTPRU,2.80271,11.3528,2.01815
LOC100129196,1.03187,2.01685,0.966832
PRO0611,0.23321,0.348395,0.579091
ZCCHC17,36.8466,40.9064,0.150793
SERINC2,21.1354,63.6574,1.59067
LOC149086,0.121495,0.261706,1.10705
LOC284551,0.0816943,0.287134,1.81342
TINAGL1,0.0898773,1.07897,3.58556
HCRTR1,0.0164301,0.0149537,-0.135839
KHDRBS1,121.255,102.623,-0.240689
TMEM39B,18.9582,11.628,-0.705221
KPNA6,16.5962,15.4943,-0.0991112
TXLNA,38.237,28.5325,-0.42236
CCDC28B,6.15221,14.5004,1.23691
IQCC,6.41823,5.53198,-0.21438
DCDC2B,0.0769341,0.267794,1.79943
EIF3I,328.155,270.28,-0.279925
FAM167B,0.116224,0.473361,2.02604
LCK,0.078873,0.283661,1.84656
HDAC1,67.5299,70.3299,0.0586122
TSSK3,5.9571,7.3629,0.305663
ZBTB8B,0,0.0496801,1.79769e+308
ZBTB8A,1.1201,1.63005,0.541292
RBBP4,59.3456,40.1578,-0.563463
KIAA1522,7.38894,11.0108,0.575477
S100PBP,15.7877,16.8896,0.0973341
HPCA,0.0611152,0.399685,2.70926
ADC,0.194218,1.38745,2.83669
ZNF362,0.725021,1.36835,0.916338
ZSCAN20,1.39025,1.88206,0.436966
HMGB4,0,0,0
LOC402779,0,0,0
C1orf94,0,0.0825169,1.79769e+308
GJB5,0.0680947,0.185425,1.44522
GJB4,0,0.0255974,1.79769e+308
GJB3,0,0.0430282,1.79769e+308
GJA4,0,0.160489,1.79769e+308
ZMYM1,0.415366,1.38244,1.73476
ZMYM4,11.9777,14.3367,0.259363
NCDN,18.313,16.899,-0.115931
TFAP2E,0.134122,0.203528,0.60168
EIF2C4,1.92145,4.09623,1.0921
EIF2C1,5.7283,6.04351,0.0772795
EIF2C3,6.4779,8.16517,0.333958
TEKT2,0.0225422,0.0921833,2.03188
ADPRHL2,27.692,31.3268,0.177932
MAP7D1,23.7219,34.3541,0.534266
THRAP3,59.745,44.8387,-0.414073
SH3D21,0.676492,0.914115,0.434303
MIR4255,0,0,0
ZC3H12A,3.33543,3.75879,0.172396
DNALI1,0.0302666,0.0330921,0.128761
CDCA8,46.4759,38.4377,-0.273959
MANEAL,33.6436,30.7649,-0.129045
C1orf122,33.8203,39.5641,0.226303
UTP11L,53.1949,42.7127,-0.316622
MIR3659,0,0,0
AKIRIN1,39.6076,41.7213,0.0750076
NDUFS5,678.566,571.709,-0.247209
MACF1,8.46033,11.7081,0.468717
KIAA0754,3.50908,4.49374,0.356825
BMP8A,4.09142,5.00078,0.289551
PPIE,38.5281,30.4616,-0.338918
MFSD2A,12.171,10.6604,-0.191178
CAP1,97.6572,112.909,0.209365
RLF,8.45686,7.59804,-0.154494
TMCO2,0,0,0
ZMPSTE24,65.0303,56.3189,-0.207493
SMAP2,62.9552,76.9825,0.290204
ZNF643,2.57797,3.0232,0.22984
ZNF642,3.26463,3.85292,0.239033
DEM1,3.45212,5.12876,0.571125
ZNF684,2.66057,3.22459,0.27738
NFYC,27.8743,27.6829,-0.00993826
MIR30E,0,0,0
MIR30C1,0,0,0
KCNQ4,0.810663,0.905515,0.159636
CTPS,79.4823,42.5469,-0.901579
LOC100507178,1.63701,1.2609,-0.376613
GUCA2B,0,0,0
RIMKLA,0.0861439,0.513981,2.57689
PPCS,20.3575,20.2962,-0.00434532
CCDC30,0.025599,0.0840058,1.7144
PPIH,94.1704,62.2314,-0.597631
YBX1,1624.12,1143.46,-0.506259
C1orf50,9.9219,8.3665,-0.245992
LOC100129924,0.074856,0.118602,0.663938
ERMAP,1.25031,1.23841,-0.0137966
ZNF691,6.73627,7.95713,0.240299
FLJ32224,0.0635982,0.605441,3.25093
FAM183A,0,0.0805881,1.79769e+308
WDR65,0.0104656,0.0212426,1.02131
TMEM125,0.102512,0.85619,3.06214
TIE1,0.004015,0.120967,4.91307
MPL,0.064651,0.113983,0.81808
CDC20,84.3259,59.7486,-0.497072
SZT2,7.56322,8.8037,0.21911
PTPRF,0.896033,16.2141,4.17755
KDM4A,15.5668,14.4189,-0.110508
ST3GAL3,2.92745,3.27893,0.163579
ARTN,0.172455,0.21067,0.288767
IPO13,14.0428,18.9688,0.433803
DPH2,51.1936,41.6884,-0.296317
ATP6V0B,363.322,367.586,0.0168342
B4GALT2,37.562,30.0864,-0.320163
CCDC24,0.912786,3.59488,1.97759
KLF17,0,0.00461951,1.79769e+308
DMAP1,20.861,22.2255,0.0914094
RNF220,21.4554,22.9824,0.0991895
C1orf228,0.198947,1.41112,2.82638
KIF2C,45.8396,28.764,-0.67233
RPS8,3019.95,2845.12,-0.0860324
SNORD55,0,0,0
SNORD46,0,0,0
SNORD38A,0,0,0
SNORD38B,0,0,0
PLK3,13.6809,15.2484,0.156489
BTBD19,2.75421,3.11962,0.179734
UROD,48.3914,65.2192,0.430546
LOC400752,0.322876,0.702936,1.12241
HPDL,17.1806,12.7834,-0.426508
TOE1,11.3336,6.32777,-0.840837
MMACHC,12.0524,11.4965,-0.0681245
AKR1A1,90.2344,114.494,0.343521
NASP,183.302,116.611,-0.652518
TMEM69,55.6426,66.0772,0.247962
MAST2,7.68391,9.90493,0.366305
TSPAN1,0.341006,0.422773,0.310088
LURAP1,0,0.00815842,1.79769e+308
RAD54L,15.3593,11.6694,-0.396378
UQCRH,1803,1646.07,-0.13137
NSUN4,20.8616,11.838,-0.817417
FAAH,1.11689,1.32247,0.243741
LOC729041,0.193136,0.964094,2.31956
DMBX1,0.0222256,0.778308,5.13005
LOC100507423,0.0792665,0.162467,1.03537
ATPAF1-AS1,0,0.100163,1.79769e+308
LOC100130197,0.0953545,0.127672,0.421071
CYP4B1,0,0,0
CYP4X1,0,0.0125095,1.79769e+308
CYP4Z1,0,0.00788355,1.79769e+308
CYP4A22,0,0.0091489,1.79769e+308
CMPK1,98.8939,71.5651,-0.466626
FOXE3,0.0166132,0.0151196,-0.135905
FOXD2,0.25904,0.487835,0.913222
SLC5A9,0.0197923,0.0456728,1.2064
ELAVL4,0,0.0973041,1.79769e+308
CDKN2C,0,0,0
C1orf185,0,0,0
RNF11,21.238,33.5656,0.660339
OSBPL9,74.151,92.9229,0.325568
BTF3L4,23.3096,20.0509,-0.217255
ZFYVE9,1.87648,3.49971,0.899206
PRPF38A,59.7289,44.3782,-0.428578
GPX7,73.2213,42.4503,-0.786487
FAM159A,7.0228,4.46186,-0.654401
ZYG11B,4.24587,6.31114,0.571839
ZYG11A,5.36112,5.46652,0.0280885
SCP2,65.2257,78.0663,0.259259
PODN,0,0,0
CPT2,21.0406,24.2783,0.206491
LOC100507564,0.479696,0.639091,0.413901
DMRTB1,0,0,0
DIO1,0.0101142,0.128776,3.67041
LRRC42,17.6675,21.4491,0.279818
TCEANC2,6.59075,7.28786,0.145052
MIR4781,0,0,0
MRPL37,144.588,111.906,-0.369657
ACOT11,0.159634,1.3036,3.02966
"HEATR8,HEATR8-TTC4,TTC4",22.6623,21.8066,-0.0555239
C1orf177,0.0803253,0.123954,0.625877
TMEM61,4.02727,8.84418,1.13493
BSND,1.32246,1.77288,0.422874
PCSK9,0.156531,0.486122,1.63487
LOC100507634,0.416396,0.889236,1.09461
MIR4422,0,0,0
PRKAA2,0.00650547,0.0282175,2.11686
C8A,0,0,0
LOC100131060,0,0.0668578,1.79769e+308
FGGY,0.173031,0.670272,1.95372
HOOK1,14.842,18.304,0.302474
NFIA,5.5427,6.18814,0.158915
INADL,4.59157,5.31015,0.209764
L1TD1,0.0161475,0.0230117,0.511058
USP1,63.8279,52.6713,-0.277169
ANGPTL3,0,0.00699683,1.79769e+308
ATG4C,7.8204,13.6531,0.803912
FOXD3,0.00792251,0.0288466,1.86437
ALG6,8.48648,10.2343,0.270173
EFCAB7,3.688,6.01853,0.706573
DLEU2L,0.871761,1.41942,0.703293
PGM1,13.4128,16.8408,0.328351
ROR1,4.41894,8.3906,0.925072
UBE2U,0,0,0
CACHD1,0.0556702,0.1123,1.01238
MIR4794,0,0,0
RAVER2,3.39585,4.43041,0.383667
AK4,0.748163,2.29595,1.61766
DNAJC6,1.5808,3.33057,1.07511
"LEPR,LEPROT",13.756,21.4653,0.641945
PDE4B,0.817929,1.48512,0.860527
SGIP1,0.198421,0.663802,1.74219
MIR3117,0,0,0
TCTEX1D1,0.179377,0.339754,0.921497
MIER1,13.0385,17.1209,0.392974
IL23R,0.0113464,0.0258499,1.18793
IL12RB2,0.0348144,0.038812,0.156817
GADD45A,18.32,32.5075,0.827358
LOC100289178,0.00725518,0.00659039,-0.138649
LRRC7,0.341998,0.460391,0.42887
PIN1P1,0,0,0
SRSF11,76.9213,63.4278,-0.278266
HHLA3,2.05757,2.84459,0.467285
CTH,5.90729,4.26179,-0.471036
ZRANB2-AS1,1.11086,1.45164,0.386005
ZRANB2-AS2,0.224893,0.315742,0.489504
"FPGT,FPGT-TNNI3K,TNNI3K",3.06482,5.14581,0.747597
TYW3,9.98354,8.94312,-0.158773
LHX8,0.141738,0.21487,0.600234
ACADM,14.483,22.2125,0.617008
RABGGTB,20.9789,21.1011,0.00838353
SNORD45C,0,0,0
SNORD45A,0,0,0
SNORD45B,0,0,0
MSH4,0.00482328,0.00439734,-0.133382
ST6GALNAC3,0,0.106902,1.79769e+308
ST6GALNAC5,0.508854,1.0366,1.02653
AK5,0,0,0
FAM73A,1.40652,1.76585,0.328239
NEXN,0.0222814,0.00451383,-2.30342
DNAJB4,7.70573,8.40671,0.12561
GIPC2,0.0226153,0.0206096,-0.133984
MGC27382,0.32646,0.363446,0.154831
PTGFR,0.0028811,0.0266227,3.20796
IFI44L,3.78984,4.6383,0.29146
IFI44,8.2914,9.90664,0.25678
LPHN2,0.0135034,0.152819,3.50043
PRKACB,13.6622,15.1383,0.148016
SAMD13,0.0777431,0.200006,1.36325
DNASE2B,0,0,0
RPF1,15.2937,13.0843,-0.225109
WDR63,0,0.0385373,1.79769e+308
MIR4423,0,0,0
LOC646626,0.191234,0.115279,-0.730202
CYR61,0.155679,0.47042,1.59538
CLCA2,0.0155376,0.0354304,1.18923
CLCA1,0.0152442,0.389095,4.67379
CLCA4,0,0,0
CLCA3P,0,0.00421372,1.79769e+308
SH3GLB1,7.20132,9.59804,0.414477
HS2ST1,10.2571,12.9926,0.341066
LOC339524,0.16495,0.125609,-0.393094
LMO4,5.86604,7.59211,0.372114
PKN2,7.58484,7.64272,0.0109665
GBP6,0.0159239,0.0581188,1.86781
GBP1P1,0.01423,0.040351,1.50367
LRRC8B,2.81519,3.14705,0.160769
LRRC8C,2.03197,2.89791,0.512131
LRRC8D,15.1771,9.21744,-0.719459
ZNF326,10.3112,8.88361,-0.214992
CDC7,7.37386,7.27294,-0.0198811
HSP90B3P,0,0,0
BRDT,0,0.00480347,1.79769e+308
EPHX4,0,0.053887,1.79769e+308
BTBD8,0.0709529,0.461966,2.70285
KIAA1107,0.105755,0.404614,1.93581
C1orf146,0,0,0
RPAP2,5.59974,5.11848,-0.129647
RPL5,1202.83,1081.23,-0.153758
SNORD21,0,0,0
SNORA66,0,0,0
MTF2,9.50528,9.43568,-0.0106029
CCDC18,5.0019,5.37673,0.104251
DR1,33.9863,34.1631,0.00748314
FNBP1L,2.94621,6.25134,1.0853
LOC100129046,0.715231,1.57601,1.1398
MIR760,0,0,0
ABCD3,10.7436,15.7507,0.551936
SLC44A3,0.132067,0.78145,2.56488
LOC729970,0.0194718,0.229094,3.55648
"RWDD3,TMEM56,TMEM56-RWDD3",2.85042,4.83515,0.762382
FLJ31662,0,0,0
PTBP2,2.20015,2.56229,0.219832
LOC729987,0,0,0
SNX7,0,0.103151,1.79769e+308
LOC100129620,0,0,0
LPPR4,0,0,0
PALMD,0.00623302,0.00567857,-0.134404
AGL,2.35283,4.75431,1.01484
SLC35A3,5.45358,7.77262,0.511196
HIAT1,34.904,27.1072,-0.364714
CCDC76,5.41843,6.04407,0.157645
RTCD1,9.18976,9.73017,0.0824375
MIR553,0,0,0
CDC14A,1.11072,1.77139,0.673386
GPR88,0.0045467,0.0248746,2.45178
VCAM1,0.00583523,0.00531722,-0.134116
SLC30A7,5.79437,5.11731,-0.179266
S1PR1,1.58772,4.49828,1.50242
DNAJA1P5,0,0.00849828,1.79769e+308
"AMY2B,RNPC3",9.74608,13.6045,0.481186
LOC648740,0.0913399,0.188875,1.04811
AMY2A,0.0983141,0.0687913,-0.515171
AMY1A,0.0360225,0.0531471,0.561093
AMY1A,0.044997,0.0531471,0.240163
LOC100129138,0,0,0
PRMT6,8.68298,11.153,0.361174
NTNG1,0.0549722,0.32658,2.57066
NBPF6,0.223221,0.481653,1.10952
FAM102B,1.51566,5.68573,1.9074
PRPF38B,23.3863,21.5558,-0.117588
FNDC7,0.00518751,0,-1.79769e+308
STXBP3,11.2931,11.243,-0.00641838
SRG7,0,0,0
GPSM2,4.46775,7.99667,0.839849
TMEM167B,9.90845,10.6504,0.104169
SCARNA2,0.44593,0.338704,-0.396793
KIAA1324,0.0130653,0.164996,3.65861
SARS,63.44,52.5878,-0.270665
CELSR2,0.46936,1.52654,1.7015
SYPL2,0.0124479,0.00378416,-1.71786
ATXN7L2,2.32878,1.46556,-0.668128
CYB561D1,2.48233,3.06759,0.305412
GPR61,0,0.025762,1.79769e+308
GNAI3,16.4303,16.0746,-0.0315763
MIR197,0,0,0
AMPD2,12.8486,16.3703,0.349474
GSTM4,6.53713,12.1875,0.898673
GSTM2,0.323243,1.36035,2.07329
GSTM1,1.43327,3.18673,1.15276
GSTM5,0.00718278,0.0195869,1.44727
CSF1,0.740467,1.52431,1.04165
AHCYL1,23.7127,32.5851,0.458552
FAM40A,8.60307,8.62095,0.00299536
UBL4B,0,0,0
SLC6A17,0.00719481,0.186078,4.69281
KCNC4,0.746353,1.45205,0.960161
RBM15,8.74438,7.00052,-0.320894
PROK1,0,0,0
CYMP,0,0.0128272,1.79769e+308
CD53,35.4475,46.4372,0.389598
CEPT1,12.8393,11.3818,-0.173842
CHI3L2,2.37427,2.58027,0.120038
RP11-165H20.1,0,0,0
CHIA,0,0,0
C1orf88,0.0207079,0.207455,3.32454
ATP5F1,88.2789,71.5588,-0.30294
C1orf162,0.122428,0.221499,0.855367
RAP1A,29.454,39.3346,0.417336
LOC100506343,0.0383567,0.14985,1.96597
DDX20,8.16881,5.61347,-0.541233
CTTNBP2NL,0.0443527,0.921539,4.37695
WNT2B,0.0162776,0.0370386,1.18614
CAPZA1,74.2191,70.12,-0.0819661
MOV10,1.23385,3.33066,1.43264
FAM19A3,0,0.0142793,1.79769e+308
AKR7A2P1,0.104841,0.107082,0.0305173
LRIG2,2.50354,2.3581,-0.0863437
MAGI3,0.865303,2.3923,1.46712
LOC100287722,0.944495,0.990808,0.0690627
DCLRE1B,4.49488,3.54824,-0.341178
HIPK1,8.516,8.91068,0.0653593
OLFML3,0.00915892,0.00833196,-0.136522
SYCP1,0,0,0
TSHB,0,0,0
VANGL1,3.46173,4.32285,0.320489
SLC22A15,0.00986417,0.0450001,2.18966
MAB21L3,0.649169,1.0809,0.735572
ATP1A1,271.39,251.649,-0.108956
MIR320B1,0,0,0
CD2,0,0.0100759,1.79769e+308
PTGFRN,0,0,0
CD101,0.0253059,0.0523456,1.0486
TTF2,17.1915,12.7139,-0.435291
MIR942,0,0,0
MAN1A2,12.962,17.0857,0.398503
FAM46C,76.1929,62.8244,-0.278331
WDR3,39.3168,29.3053,-0.423985
HAO2,0,0.0420127,1.79769e+308
HSD3B2,0,0,0
HSD3B1,0,0,0
HSD3BP4,0.00700616,0.004798,-0.546191
PHGDH,27.6928,22.0888,-0.326195
FAM72B,17.892,17.7956,-0.00779895
HIST2H2BA,0,0,0
EMBP1,2.21873,3.55032,0.678216
LOC100130000,0.183371,0.307214,0.744478
SRGAP2P2,19.9331,36.9058,0.888686
NBPF9,22.7309,25.7972,0.182562
SEC22B,63.163,72.2869,0.194654
NOTCH2NL,7.10959,11.8932,0.742302
NBPF10,27.587,30.4832,0.144027
HFE2,0.0929433,0.284194,1.61245
TXNIP,96.585,113.443,0.232091
ANKRD34A,7.44121,12.2301,0.71683
LIX1L,15.6608,17.803,0.184963
RBM8A,28.2612,23.0307,-0.295267
PEX11B,22.6514,25.8984,0.193264
ITGA10,0.0269204,0.0900743,1.74242
ANKRD35,0.00938539,0.111243,3.56715
PIAS3,9.96315,14.3233,0.523693
RNF115,21.6907,23.1113,0.0915186
PDZK1,0.428986,0.412079,-0.0580116
GPR89C,18.1126,16.6082,-0.125097
PDIA3P,18.6695,13.2279,-0.497101
CHD1L,27.4999,32.9782,0.262084
BCL9,5.55182,7.81962,0.494137
GJA8,0,0,0
"GPR89B,GPR89C",21.0289,18.8872,-0.154965
"NBPF15,NBPF16",20.1944,25.2026,0.319616
PPIAL4E,0.00311308,0,-1.79769e+308
NBPF16,16.6884,20.1236,0.27005
PPIAL4D,0.00311308,0.00749285,1.26717
LOC645166,6.00295,10.5144,0.808622
LOC388692,1.45357,2.11687,0.542335
FCGR1C,0,0.0395056,1.79769e+308
PPIAL4B,0.0459608,0.0259595,-0.824143
"FAM91A2,LOC728855",12.891,15.02,0.220523
FCGR1A,0.00768456,0.0580106,2.91628
HIST2H4B,4.75084,7.20377,0.600571
HIST2H2AA3,5.88943,8.09536,0.458967
HIST2H3C,0.407525,0.569856,0.483706
HIST2H2AC,1.62507,1.74078,0.0992277
BOLA1,1.75621,3.55622,1.01788
VPS45,10.4948,14.6248,0.478744
PLEKHO1,4.40348,8.49046,0.947198
CA14,0.0863011,0.13082,0.600133
C1orf54,0.962817,0.508787,-0.920201
C1orf51,0.20124,0.104589,-0.944183
MRPS21,299.736,306.544,0.032401
PRPF3,28.6601,23.6551,-0.27689
RPRD2,15.6842,13.0382,-0.266572
